,article_idx,link_idx
418,9,53
419,9,54
420,9,56
421,9,150
422,9,210
423,9,226
424,9,257
425,9,417
426,9,427
427,9,436
428,9,678
429,9,687
430,9,854
431,9,1316
432,9,1324
433,9,1359
434,9,1377
435,9,1425
436,9,1482
437,9,1529
438,9,1559
439,9,1564
440,9,1616
441,9,1685
442,9,1746
443,9,1877
444,9,1900
445,9,1901
446,9,1914
447,9,1985
448,9,2027
449,9,2089
450,9,2135
451,9,2140
452,9,2171
453,9,2174
454,9,2175
455,9,2191
456,9,2215
457,9,2252
458,9,2289
459,9,2437
460,9,2662
461,9,2670
462,9,2671
463,9,2755
464,9,2773
465,9,2802
466,9,2946
467,9,2970
468,9,3066
469,9,3105
470,9,3124
471,9,3212
472,9,3279
473,9,3311
474,9,3452
475,9,3518
476,9,3636
477,9,3815
478,9,3816
479,9,3818
480,9,3914
481,9,3924
482,9,3953
483,9,4019
484,9,4110
485,9,4136
486,9,4332
487,9,4402
488,9,4411
489,9,4493
490,9,4498
491,10,371
492,10,456
493,10,1275
494,10,1377
495,10,1425
496,10,1502
497,10,1656
498,10,1741
499,10,2083
500,10,2140
501,10,2222
502,10,2478
503,10,2666
504,10,2833
505,10,3001
506,10,3204
507,10,3215
508,10,3311
509,10,3456
510,10,4055
511,10,4234
512,10,4332
513,10,4374
514,11,0
515,11,1
516,11,2
517,11,3
518,11,4
519,11,6
520,11,9
521,11,13
522,11,18
523,11,20
524,11,21
525,11,32
526,11,33
527,11,34
528,11,36
529,11,44
530,11,50
531,11,52
532,11,53
533,11,54
534,11,56
535,11,333
536,11,431
537,11,452
538,11,467
539,11,566
540,11,613
541,11,687
542,11,744
543,11,760
544,11,782
545,11,851
546,11,852
547,11,886
548,11,1013
549,11,1359
550,11,1377
551,11,1499
552,11,1559
553,11,1616
554,11,1719
555,11,1741
556,11,1898
557,11,1985
558,11,2027
559,11,2089
560,11,2140
561,11,2156
562,11,2174
563,11,2202
564,11,2203
565,11,2215
566,11,2242
567,11,2245
568,11,2260
569,11,2266
570,11,2551
571,11,2669
572,11,2773
573,11,2786
574,11,2946
575,11,2953
576,11,2955
577,11,3002
578,11,3051
579,11,3105
580,11,3196
581,11,3203
582,11,3214
583,11,3274
584,11,3311
585,11,3380
586,11,3456
587,11,3556
588,11,3640
589,11,3789
590,11,3815
591,11,3826
592,11,3953
593,11,3977
594,11,3997
595,11,4005
596,11,4107
597,11,4136
598,11,4480
599,11,4484
600,11,4493
601,12,367
602,12,368
603,12,387
604,12,394
605,12,688
606,12,899
607,12,1061
608,12,1101
609,12,1283
610,12,1324
611,12,1425
612,12,1542
613,12,1559
614,12,1685
615,12,1784
616,12,1785
617,12,2027
618,12,2529
619,12,3055
620,12,3149
621,12,3518
622,12,3519
623,12,3680
624,12,3744
625,12,3835
626,12,3958
627,12,4286
628,13,0
629,13,1
630,13,2
631,13,3
632,13,4
633,13,6
634,13,9
635,13,10
636,13,11
637,13,18
638,13,20
639,13,21
640,13,32
641,13,33
642,13,34
643,13,36
644,13,44
645,13,50
646,13,52
647,13,53
648,13,54
649,13,56
650,13,111
651,13,121
652,13,175
653,13,216
654,13,269
655,13,286
656,13,288
657,13,387
658,13,549
659,13,746
660,13,784
661,13,798
662,13,807
663,13,822
664,13,886
665,13,1146
666,13,1163
667,13,1300
668,13,1302
669,13,1312
670,13,1363
671,13,1377
672,13,1559
673,13,1581
674,13,1582
675,13,1586
676,13,1668
677,13,1676
678,13,1719
679,13,2083
680,13,2089
681,13,2106
682,13,2199
683,13,2210
684,13,2222
685,13,2242
686,13,2285
687,13,2438
688,13,2529
689,13,2551
690,13,2908
691,13,2909
692,13,2940
693,13,2946
694,13,3002
695,13,3124
696,13,3196
697,13,3203
698,13,3229
699,13,3236
700,13,3279
701,13,3331
702,13,3334
703,13,3556
704,13,3579
705,13,3640
706,13,3718
707,13,3746
708,13,3789
709,13,3790
710,13,3815
711,13,3870
712,13,3871
713,13,3959
714,13,4106
715,13,4108
716,13,4136
717,13,4286
718,13,4364
719,13,4374
720,13,4398
721,13,4482
722,13,4512
723,14,122
724,14,371
725,14,1217
726,14,1529
727,14,1620
728,14,1798
729,14,2409
730,14,2666
731,14,2821
732,14,2996
733,14,3149
734,14,3363
735,14,4027
736,14,4165
737,14,4229
738,14,4286
739,14,4294
740,15,181
741,15,303
742,15,387
743,15,420
744,15,681
745,15,760
746,15,883
747,15,938
748,15,953
749,15,1324
750,15,1346
751,15,1410
752,15,1725
753,15,2135
754,15,2137
755,15,2168
756,15,2363
757,15,2409
758,15,2454
759,15,2653
760,15,2738
761,15,2753
762,15,2772
763,15,2922
764,15,2946
765,15,2961
766,15,2975
767,15,3002
768,15,3020
769,15,3186
770,15,3197
771,15,3206
772,15,3311
773,15,3377
774,15,3484
775,15,3556
776,15,3619
777,15,3789
778,15,3801
779,15,3940
780,15,3965
781,15,4281
782,15,4282
783,15,4285
784,15,4286
785,15,4295
786,15,4337
787,15,4454
788,15,4518
789,15,4531
790,15,4560
791,16,261
792,16,299
793,16,406
794,16,746
795,16,792
796,16,967
797,16,1173
798,16,1274
799,16,1275
800,16,1366
801,16,1375
802,16,1526
803,16,1545
804,16,1632
805,16,1699
806,16,2015
807,16,2069
808,16,2236
809,16,2592
810,16,2779
811,16,2823
812,16,2850
813,16,3021
814,16,3031
815,16,3085
816,16,3320
817,16,3403
818,16,3413
819,16,3661
820,16,3750
821,16,3787
822,16,4169
823,16,4181
824,16,4186
825,16,4264
826,16,4286
827,16,4288
828,16,4369
829,16,4413
830,16,4420
831,16,4454
832,16,4499
833,16,4555
834,17,746
835,17,797
836,17,1332
837,17,1333
838,17,1799
839,17,2215
840,17,2277
841,17,2736
842,17,2738
843,17,2964
844,17,3124
845,17,3138
846,17,4229
847,17,4264
848,17,4286
849,17,4384
850,18,0
851,18,1
852,18,2
853,18,3
854,18,4
855,18,6
856,18,9
857,18,11
858,18,13
859,18,20
860,18,21
861,18,32
862,18,33
863,18,34
864,18,36
865,18,44
866,18,50
867,18,52
868,18,53
869,18,54
870,18,56
871,18,91
872,18,171
873,18,174
874,18,178
875,18,214
876,18,243
877,18,282
878,18,289
879,18,367
880,18,371
881,18,387
882,18,439
883,18,538
884,18,548
885,18,639
886,18,687
887,18,688
888,18,700
889,18,760
890,18,798
891,18,848
892,18,849
893,18,883
894,18,886
895,18,925
896,18,959
897,18,1043
898,18,1066
899,18,1083
900,18,1207
901,18,1295
902,18,1297
903,18,1324
904,18,1333
905,18,1377
906,18,1398
907,18,1412
908,18,1425
909,18,1439
910,18,1478
911,18,1502
912,18,1510
913,18,1528
914,18,1593
915,18,1559
916,18,1577
917,18,1590
918,18,1603
919,18,1685
920,18,1697
921,18,1768
922,18,1785
923,18,1791
924,18,1801
925,18,1885
926,18,1894
927,18,1985
928,18,1989
929,18,2086
930,18,2119
931,18,2174
932,18,2180
933,18,2198
934,18,2212
935,18,2215
936,18,2230
937,18,2313
938,18,2349
939,18,2409
940,18,2435
941,18,2511
942,18,2531
943,18,2550
944,18,2557
945,18,2627
946,18,2646
947,18,2650
948,18,2711
949,18,2738
950,18,2741
951,18,2870
952,18,2908
953,18,2909
954,18,2923
955,18,2964
956,18,2966
957,18,2977
958,18,3001
959,18,3002
960,18,3040
961,18,3104
962,18,3105
963,18,3140
964,18,3149
965,18,3196
966,18,3200
967,18,3213
968,18,3215
969,18,3287
970,18,3315
971,18,3363
972,18,3370
973,18,3380
974,18,3435
975,18,3449
976,18,3487
977,18,3506
978,18,3526
979,18,3527
980,18,3556
981,18,3969
982,18,3593
983,18,3636
984,18,3649
985,18,3692
986,18,3730
987,18,3735
988,18,3741
989,18,3759
990,18,3789
991,18,3796
992,18,3815
993,18,3817
994,18,3870
995,18,3871
996,18,3908
997,18,3953
998,18,3977
999,18,4003
1000,18,4004
1001,18,4072
1002,18,4108
1003,18,4125
1004,18,4276
1005,18,4286
1006,18,4318
1007,18,4337
1008,18,4345
1009,18,4348
1010,18,4355
1011,18,4391
1012,18,4477
1013,18,4530
1014,18,4555
1015,18,4586
1016,18,4590
1017,19,35
1018,19,43
1019,19,55
1020,19,357
1021,19,798
1022,19,841
1023,19,970
1024,19,1035
1025,19,1151
1026,19,1160
1027,19,1399
1028,19,1529
1029,19,1589
1030,19,1685
1031,19,1756
1032,19,2012
1033,19,2297
1034,19,2360
1035,19,2655
1036,19,2738
1037,19,2757
1038,19,2823
1039,19,3136
1040,19,3149
1041,19,3247
1042,19,3264
1043,19,3523
1044,19,3777
1045,19,3856
1046,19,3924
1047,19,4274
1048,19,4339
1049,20,0
1050,20,1
1051,20,2
1052,20,3
1053,20,4
1054,20,6
1055,20,9
1056,20,11
1057,20,13
1058,20,18
1059,20,21
1060,20,32
1061,20,33
1062,20,34
1063,20,36
1064,20,44
1065,20,50
1066,20,52
1067,20,53
1068,20,54
1069,20,56
1070,20,386
1071,20,661
1072,20,714
1073,20,715
1074,20,886
1075,20,926
1076,20,2228
1077,20,2230
1078,20,2288
1079,20,2475
1080,20,2852
1081,20,3167
1082,20,3274
1083,20,3294
1084,20,3519
1085,20,3844
1086,21,0
1087,21,1
1088,21,2
1089,21,3
1090,21,4
1091,21,6
1092,21,9
1093,21,11
1094,21,13
1095,21,18
1096,21,20
1097,21,32
1098,21,33
1099,21,34
1100,21,36
1101,21,44
1102,21,50
1103,21,52
1104,21,53
1105,21,54
1106,21,56
1107,21,271
1108,21,386
1109,21,928
1110,21,1784
1111,21,2230
1112,21,2292
1113,21,2349
1114,21,2649
1115,21,3519
1116,21,3528
1117,21,4356
1118,22,38
1119,22,39
1120,22,1377
1121,22,4286
1122,23,22
1123,23,38
1124,23,886
1125,23,3184
1126,23,4286
1127,23,4531
1128,24,25
1129,24,27
1130,24,371
1131,24,445
1132,24,559
1133,24,760
1134,24,1218
1135,24,1809
1136,24,1836
1137,24,2738
1138,24,3311
1139,24,3363
1140,24,4027
1141,24,4212
1142,24,4220
1143,24,4222
1144,24,4226
1145,24,4229
1146,25,24
1147,25,27
1148,25,371
1149,25,456
1150,25,559
1151,25,678
1152,25,768
1153,25,783
1154,25,797
1155,25,826
1156,25,1083
1157,25,1218
1158,25,1332
1159,25,1529
1160,25,1794
1161,25,1798
1162,25,1809
1163,25,1836
1164,25,2030
1165,25,2032
1166,25,2033
1167,25,2041
1168,25,2043
1169,25,2046
1170,25,2049
1171,25,2194
1172,25,2373
1173,25,2738
1174,25,3124
1175,25,3363
1176,25,3488
1177,25,4027
1178,25,4214
1179,25,4225
1180,25,4229
1181,25,4249
1182,25,4264
1183,25,4286
1184,25,4337
1185,25,4439
1186,26,10
1187,26,31
1188,26,122
1189,26,143
1190,26,277
1191,26,318
1192,26,351
1193,26,371
1194,26,387
1195,26,449
1196,26,517
1197,26,570
1198,26,577
1199,26,760
1200,26,883
1201,26,886
1202,26,894
1203,26,959
1204,26,1250
1205,26,1275
1206,26,1545
1207,26,1666
1208,26,1675
1209,26,1761
1210,26,2089
1211,26,2091
1212,26,2100
1213,26,2109
1214,26,2135
1215,26,2161
1216,26,2174
1217,26,2321
1218,26,2344
1219,26,2353
1220,26,2392
1221,26,2608
1222,26,2612
1223,26,2711
1224,26,2738
1225,26,2793
1226,26,2823
1227,26,2892
1228,26,2921
1229,26,2955
1230,26,3124
1231,26,3200
1232,26,3401
1233,26,3546
1234,26,3556
1235,26,3585
1236,26,3662
1237,26,3730
1238,26,3780
1239,26,3789
1240,26,3791
1241,26,3844
1242,26,3919
1243,26,3953
1244,26,3965
1245,26,4020
1246,26,4137
1247,26,4153
1248,26,4234
1249,26,4282
1250,26,4285
1251,26,4295
1252,26,4335
1253,26,4337
1254,26,4406
1255,26,4531
1256,27,14
1257,27,24
1258,27,25
1259,27,371
1260,27,445
1261,27,539
1262,27,559
1263,27,783
1264,27,797
1265,27,914
1266,27,951
1267,27,959
1268,27,1083
1269,27,1218
1270,27,1332
1271,27,1425
1272,27,1529
1273,27,1675
1274,27,1794
1275,27,1801
1276,27,1809
1277,27,1836
1278,27,1989
1279,27,2004
1280,27,2031
1281,27,2036
1282,27,2038
1283,27,2040
1284,27,2046
1285,27,2047
1286,27,2050
1287,27,2051
1288,27,2073
1289,27,2120
1290,27,2194
1291,27,2738
1292,27,2786
1293,27,2833
1294,27,2964
1295,27,3012
1296,27,3040
1297,27,3206
1298,27,3444
1299,27,3815
1300,27,4027
1301,27,4217
1302,27,4218
1303,27,4219
1304,27,4223
1305,27,4228
1306,27,4229
1307,27,4249
1308,27,4264
1309,27,4286
1310,27,4295
1311,27,4334
1312,28,1377
1313,28,1425
1314,28,1559
1315,28,2450
1316,28,2529
1317,28,2573
1318,28,2946
1319,28,3115
1320,28,3291
1321,28,3815
1322,29,26
1323,29,121
1324,29,1275
1325,29,2089
1326,29,2309
1327,29,2315
1328,29,2701
1329,29,2857
1330,29,3126
1331,29,3750
1332,29,4285
1333,29,4509
1334,30,128
1335,30,259
1336,30,722
1337,30,1168
1338,30,1275
1339,30,1279
1340,30,1773
1341,30,2320
1342,30,2390
1343,30,3563
1344,30,3664
1345,30,3871
1346,30,3987
1347,30,4285
1348,30,4583
1349,31,26
1350,31,387
1351,31,448
1352,31,1275
1353,31,2089
1354,31,2091
1355,31,2100
1356,31,2192
1357,31,2259
1358,31,2358
1359,31,2584
1360,31,2608
1361,31,2612
1362,31,2689
1363,31,3688
1364,31,3730
1365,31,3844
1366,31,3919
1367,31,4020
1368,31,4234
1369,31,4285
1370,32,0
1371,32,1
1372,32,2
1373,32,3
1374,32,4
1375,32,6
1376,32,9
1377,32,11
1378,32,13
1379,32,18
1380,32,20
1381,32,21
1382,32,33
1383,32,34
1384,32,36
1385,32,44
1386,32,50
1387,32,52
1388,32,53
1389,32,54
1390,32,56
1391,32,60
1392,32,122
1393,32,205
1394,32,351
1395,32,376
1396,32,401
1397,32,588
1398,32,771
1399,32,886
1400,32,953
1401,32,991
1402,32,998
1403,32,1083
1404,32,1085
1405,32,1346
1406,32,1424
1407,32,1425
1408,32,1431
1409,32,1441
1410,32,1444
1411,32,1467
1412,32,1468
1413,32,1496
1414,32,1559
1415,32,1685
1416,32,2086
1417,32,2113
1418,32,2123
1419,32,2168
1420,32,2174
1421,32,2215
1422,32,2221
1423,32,2232
1424,32,2233
1425,32,2422
1426,32,2677
1427,32,2825
1428,32,2870
1429,32,2919
1430,32,2929
1431,32,2953
1432,32,2988
1433,32,3021
1434,32,3149
1435,32,3206
1436,32,3213
1437,32,3234
1438,32,3363
1439,32,3384
1440,32,3403
1441,32,3527
1442,32,3546
1443,32,3556
1444,32,3557
1445,32,3653
1446,32,3789
1447,32,3801
1448,32,3815
1449,32,3835
1450,32,3999
1451,32,4003
1452,32,4006
1453,32,4055
1454,32,4149
1455,32,4190
1456,32,4285
1457,32,4286
1458,32,4352
1459,32,4361
1460,32,4394
1461,32,4530
1462,32,4531
1463,33,26
1464,33,29
1465,33,32
1466,33,60
1467,33,121
1468,33,122
1469,33,133
1470,33,303
1471,33,313
1472,33,325
1473,33,328
1474,33,336
1475,33,357
1476,33,387
1477,33,570
1478,33,571
1479,33,577
1480,33,603
1481,33,612
1482,33,678
1483,33,1108
1484,33,760
1485,33,785
1486,33,812
1487,33,920
1488,33,959
1489,33,972
1490,33,991
1491,33,1004
1492,33,1083
1493,33,1130
1494,33,1166
1495,33,1168
1496,33,1171
1497,33,1208
1498,33,1281
1499,33,1288
1500,33,1304
1501,33,1375
1502,33,1425
1503,33,1431
1504,33,1464
1505,33,1493
1506,33,1529
1507,33,1559
1508,33,1675
1509,33,1678
1510,33,1685
1511,33,1715
1512,33,1716
1513,33,1734
1514,33,1736
1515,33,1784
1516,33,1801
1517,33,1826
1518,33,1836
1519,33,1856
1520,33,1987
1521,33,1988
1522,33,2031
1523,33,2033
1524,33,2043
1525,33,2046
1526,33,2089
1527,33,2091
1528,33,2100
1529,33,2120
1530,33,2123
1531,33,2135
1532,33,2137
1533,33,2168
1534,33,2174
1535,33,2215
1536,33,2220
1537,33,2259
1538,33,2335
1539,33,2344
1540,33,2367
1541,33,2396
1542,33,2411
1543,33,2424
1544,33,2454
1545,33,2473
1546,33,2474
1547,33,2529
1548,33,2586
1549,33,2601
1550,33,2605
1551,33,2615
1552,33,2655
1553,33,2656
1554,33,2657
1555,33,2677
1556,33,2725
1557,33,2738
1558,33,2817
1559,33,2922
1560,33,2943
1561,33,2946
1562,33,2950
1563,33,2955
1564,33,3004
1565,33,3094
1566,33,3126
1567,33,3186
1568,33,3206
1569,33,3213
1570,33,3264
1571,33,3274
1572,33,3291
1573,33,3301
1574,33,3302
1575,33,3324
1576,33,3486
1577,33,3539
1578,33,3556
1579,33,3586
1580,33,3664
1581,33,3673
1582,33,3677
1583,33,3778
1584,33,3780
1585,33,3789
1586,33,3793
1587,33,3808
1588,33,3815
1589,33,3844
1590,33,3845
1591,33,3860
1592,33,3862
1593,33,3865
1594,33,3875
1595,33,3876
1596,33,3905
1597,33,3999
1598,33,4018
1599,33,4020
1600,33,4066
1601,33,4125
1602,33,4158
1603,33,4167
1604,33,4180
1605,33,4181
1606,33,4234
1607,33,4236
1608,33,4244
1609,33,4265
1610,33,4270
1611,33,4282
1612,33,4285
1613,33,4286
1614,33,4337
1615,33,4394
1616,33,4527
1617,33,4531
1618,34,0
1619,34,1
1620,34,2
1621,34,3
1622,34,4
1623,34,6
1624,34,9
1625,34,11
1626,34,13
1627,34,18
1628,34,20
1629,34,21
1630,34,32
1631,34,33
1632,34,36
1633,34,44
1634,34,50
1635,34,52
1636,34,53
1637,34,54
1638,34,56
1639,34,271
1640,34,739
1641,34,1425
1642,34,1833
1643,34,2806
1644,34,3361
1645,34,3856
1646,35,19
1647,35,43
1648,35,357
1649,35,1151
1650,35,1685
1651,35,1756
1652,35,2655
1653,35,2823
1654,35,3856
1655,36,0
1656,36,1
1657,36,2
1658,36,3
1659,36,4
1660,36,6
1661,36,9
1662,36,11
1663,36,13
1664,36,18
1665,36,20
1666,36,21
1667,36,32
1668,36,33
1669,36,34
1670,36,44
1671,36,50
1672,36,52
1673,36,53
1674,36,54
1675,36,56
1676,36,271
1677,36,715
1678,36,913
1679,36,1704
1680,36,2089
1681,36,2215
1682,36,2603
1683,36,2738
1684,36,3002
1685,36,3519
1686,36,3965
1687,36,4270
1688,37,38
1689,37,878
1690,37,3507
1691,37,4286
1692,38,22
1693,38,23
1694,38,37
1695,38,39
1696,38,51
1697,38,1425
1698,38,1510
1699,38,1763
1700,38,3002
1701,38,3184
1702,39,38
1703,39,1502
1704,39,3184
1705,39,3206
1706,39,4286
1707,40,41
1708,40,42
1709,40,1151
1710,40,1447
1711,40,1756
1712,40,1878
1713,40,2056
1714,40,2147
1715,40,2297
1716,40,2655
1717,40,3248
1718,40,3617
1719,40,3777
1720,40,3856
1721,40,3924
1722,40,4413
1723,41,40
1724,41,42
1725,41,223
1726,41,937
1727,41,1151
1728,41,1447
1729,41,1633
1730,41,1756
1731,41,2297
1732,41,3777
1733,41,3856
1734,41,3924
1735,41,4413
1736,42,40
1737,42,41
1738,42,1151
1739,42,1447
1740,42,1633
1741,42,1756
1742,42,2297
1743,42,3617
1744,42,3777
1745,42,3856
1746,42,3924
1747,43,19
1748,43,203
1749,43,798
1750,43,840
1751,43,1078
1752,43,1151
1753,43,1273
1754,43,1685
1755,43,1756
1756,43,2012
1757,43,2147
1758,43,2592
1759,43,2655
1760,43,2730
1761,43,2732
1762,43,2823
1763,43,2968
1764,43,3247
1765,43,3523
1766,43,3777
1767,43,3924
1768,44,0
1769,44,1
1770,44,2
1771,44,3
1772,44,4
1773,44,6
1774,44,9
1775,44,11
1776,44,13
1777,44,18
1778,44,20
1779,44,21
1780,44,32
1781,44,33
1782,44,34
1783,44,36
1784,44,50
1785,44,52
1786,44,53
1787,44,54
1788,44,56
1789,44,168
1790,44,271
1791,44,334
1792,44,385
1793,44,886
1794,44,898
1795,44,899
1796,44,1507
1797,44,3519
1798,44,4136
1799,45,46
1800,45,47
1801,45,48
1802,45,49
1803,45,573
1804,45,574
1805,45,1151
1806,45,1273
1807,45,1447
1808,45,1633
1809,45,1756
1810,45,1878
1811,45,2012
1812,45,2147
1813,45,2297
1814,45,2360
1815,45,2943
1816,45,3436
1817,45,3777
1818,45,3856
1819,45,3924
1820,45,4005
1821,45,4310
1822,46,45
1823,46,47
1824,46,48
1825,46,937
1826,46,1151
1827,46,1447
1828,46,1633
1829,46,1756
1830,46,2012
1831,46,2297
1832,46,3856
1833,46,3924
1834,46,4126
1835,46,4310
1836,47,45
1837,47,46
1838,47,48
1839,47,49
1840,47,1151
1841,47,1447
1842,47,1633
1843,47,2012
1844,47,2297
1845,47,2725
1846,47,3617
1847,47,3856
1848,47,3924
1849,48,45
1850,48,46
1851,48,47
1852,48,223
1853,48,937
1854,48,1151
1855,48,1447
1856,48,1633
1857,48,1869
1858,48,2012
1859,48,2297
1860,48,3264
1861,48,3777
1862,48,3924
1863,48,4413
1864,49,45
1865,49,46
1866,49,47
1867,49,48
1868,49,1151
1869,49,1273
1870,49,1447
1871,49,1633
1872,49,1756
1873,49,2012
1874,49,2297
1875,49,2943
1876,49,3436
1877,49,3856
1878,49,3924
1879,49,4126
1880,50,0
1881,50,1
1882,50,2
1883,50,3
1884,50,4
1885,50,6
1886,50,9
1887,50,11
1888,50,13
1889,50,18
1890,50,20
1891,50,21
1892,50,32
1893,50,33
1894,50,34
1895,50,36
1896,50,44
1897,50,52
1898,50,53
1899,50,54
1900,50,56
1901,50,122
1902,50,271
1903,50,380
1904,50,385
1905,50,566
1906,50,715
1907,50,728
1908,50,886
1909,50,1377
1910,50,2100
1911,50,2140
1912,50,2584
1913,50,2892
1914,50,3519
1915,50,3528
1916,51,37
1917,51,1377
1918,51,4286
1919,52,0
1920,52,1
1921,52,2
1922,52,3
1923,52,4
1924,52,6
1925,52,9
1926,52,11
1927,52,13
1928,52,18
1929,52,20
1930,52,21
1931,52,32
1932,52,33
1933,52,34
1934,52,36
1935,52,44
1936,52,50
1937,52,53
1938,52,54
