,article,category
68,A_Wrinkle_in_Time,['subject.Language_and_literature.Novels']
69,A_cappella,['subject.Music.Musical_genres_styles_eras_and_events']
70,Aachen,['subject.Geography.European_Geography']
71,Aardvark,['subject.Science.Biology.Mammals']
72,Aarhus,['subject.Geography.European_Geography']
73,Abacus,"['subject.Everyday_life.Everyday_life', 'subject.Mathematics']"
74,Abacá,['subject.Science.Biology.Plants']
75,Abadan,['subject.Geography.Geography_of_the_Middle_East']
76,Abbadid,['subject.History.Ancient_History_Classical_History_and_Mythology']
77,Abbas_I_of_Persia,['subject.People.Historical_figures']
78,Abbasid,['subject.History.Ancient_History_Classical_History_and_Mythology']
79,Abbey,"['subject.History.British_History.British_History_15001750', 'subject.Religion.Religious_movements_traditions_and_organizations']"
80,Abbey_Theatre,['subject.Language_and_literature.Theatre']
81,Abbot,"['subject.History.British_History.British_History_15001750', 'subject.Religion.Religious_movements_traditions_and_organizations']"
82,Abel_Tasman,['subject.People.Geographers_and_explorers']
83,Aberdeen,['subject.Geography.Geography_of_Great_Britain']
84,Aberration_of_light,['subject.Science.Physics.General_Physics']
85,Aberystwyth,['subject.Geography.Geography_of_Great_Britain']
86,Abhidhamma_Pitaka,['subject.Religion.Religious_texts']
87,Abidjan,['subject.Geography.African_Geography']
88,Abkhazia,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
89,Able_Archer_83,['subject.History.Military_History_and_War']
90,Abraham_Goldfaden,['subject.People.Writers_and_critics']
91,Abraham_Lincoln,['subject.People.USA_Presidents']
92,Absinthe,['subject.Everyday_life.Drink']
93,Absolute_zero,['subject.Science.Physics.General_Physics']
94,Abstract_art,['subject.Art.Art']
95,Abu_Dhabi,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
96,Abuja,['subject.Geography.African_Geography']
97,Acceleration,['subject.Science.Physics.General_Physics']
98,Accountancy,['subject.Business_Studies.Business']
99,Accra,['subject.Geography.African_Geography']
100,Acetic_acid,['subject.Science.Chemistry.Chemical_compounds']
101,Acetone,['subject.Science.Chemistry.Chemical_compounds']
102,Achilles,['subject.History.Ancient_History_Classical_History_and_Mythology']
103,Achilles_tendon,['subject.Science.Biology.Health_and_medicine']
104,Acid_rain,"['subject.Citizenship.Environment', 'subject.Geography.General_Geography']"
105,Acorn_Computers,"['subject.Business_Studies.Companies', 'subject.IT.Computing_hardware_and_infrastructure']"
106,Actinium,['subject.Science.Chemistry.Chemical_elements']
107,Action_potential,['subject.Science.Biology.General_Biology']
108,Actor,['subject.Language_and_literature.Theatre']
109,Acts_of_Union_1707,['subject.History.British_History.British_History_15001750']
110,Actuary,['subject.Business_Studies.Economics']
111,Adam_Smith,"['subject.Business_Studies.Economics', 'subject.People.Historical_figures']"
112,Addis_Ababa,['subject.Geography.African_Geography']
113,Adelaide,['subject.Geography.Geography_of_Oceania_Australasia']
114,Adenosine_triphosphate,['subject.Science.Chemistry.Chemical_compounds']
115,Adi_Shankara,['subject.People.Religious_figures_and_leaders']
116,Adolf_Hitler,['subject.People.Political_People']
117,Adriaen_van_der_Donck,['subject.People.Historical_figures']
118,Advertising,"['subject.Business_Studies.Business', 'subject.Everyday_life.Everyday_life']"
119,Aesthetics,['subject.Science.Biology.Health_and_medicine']
120,Afghan_Hound,['subject.Science.Biology.Mammals']
121,Afghanistan,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
122,Africa,['subject.Geography.African_Geography']
123,African_American_literature,['subject.Language_and_literature.Literature_types']
124,African_Black_Oystercatcher,['subject.Science.Biology.Birds']
125,African_Brush-tailed_Porcupine,['subject.Science.Biology.Mammals']
126,African_Buffalo,['subject.Science.Biology.Mammals']
127,African_Darter,['subject.Science.Biology.Birds']
128,African_Great_Lakes,['subject.Geography.African_Geography']
129,African_Grey_Hornbill,['subject.Science.Biology.Birds']
130,African_Grey_Parrot,['subject.Science.Biology.Birds']
131,African_Jacana,['subject.Science.Biology.Birds']
132,African_Penguin,['subject.Science.Biology.Birds']
133,African_Union,['subject.Citizenship.Politics_and_government']
134,African_Wild_Dog,['subject.Science.Biology.Mammals']
135,African_clawed_frog,['subject.Science.Biology.Insects_Reptiles_and_Fish']
136,African_dwarf_frog,['subject.Science.Biology.Insects_Reptiles_and_Fish']
137,African_slave_trade,['subject.History.General_history']
138,Afrikaans,['subject.Language_and_literature.Languages']
139,Agamemnon,['subject.People.Historical_figures']
140,Age_of_Enlightenment,['subject.Religion.Philosophy']
141,Aggregator,['subject.IT.Websites_and_the_Internet']
142,Agnosticism,['subject.Religion.Philosophy']
143,Agriculture,['subject.Everyday_life.Food_and_agriculture']
144,Airbus,['subject.Design_and_Technology.Air_and_Sea_transport']
145,Airbus_A380,['subject.Design_and_Technology.Air_and_Sea_transport']
146,Aircraft,['subject.Design_and_Technology.Air_and_Sea_transport']
147,Aircraft_carrier,['subject.Design_and_Technology.Air_and_Sea_transport']
148,Airship,['subject.Design_and_Technology.Air_and_Sea_transport']
149,Ajax_(programming),['subject.IT.Computer_Programming']
150,Akbar,['subject.People.Historical_figures']
151,Akhenaten,"['subject.History.Ancient_History_Classical_History_and_Mythology', 'subject.People.Historical_figures']"
152,Akira_Kurosawa,['subject.People.Producers_directors_and_media_figures']
153,Akkadian_Empire,['subject.History.Ancient_History_Classical_History_and_Mythology']
154,Akrotiri_and_Dhekelia,['subject.Geography.European_Geography']
155,Aksumite_currency,['subject.History.Ancient_History_Classical_History_and_Mythology']
156,Al_Jazeera,"['subject.Citizenship.Media', 'subject.Citizenship.Politics_and_government']"
157,Alamosaurus,['subject.Science.Biology.Dinosaurs']
158,Alan_Turing,['subject.People.Mathematicians']
159,Albania,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
160,Albatross,['subject.Science.Biology.Birds']
161,Albert_Einstein,['subject.People.Astronomers_and_physicists']
162,Alberto_Santos-Dumont,['subject.People.Engineers_and_inventors']
163,Albertosaurus,['subject.Science.Biology.Dinosaurs']
164,Albigensian_Crusade,"['subject.History.Pre_1900_Military', 'subject.Religion.Religious_disputes']"
165,Albinism,['subject.Science.Biology.Health_and_medicine']
166,Albrecht_Dürer,['subject.People.Mathematicians']
167,Albrecht_Rodenbach,['subject.People.Writers_and_critics']
168,Alchemy,['subject.Science.Chemistry.General_Chemistry']
169,Alcibiades,"['subject.History.Ancient_History_Classical_History_and_Mythology', 'subject.People.Historical_figures']"
170,Alcohol,['subject.Science.Chemistry.General_Chemistry']
171,Aleksandr_Pushkin,['subject.People.Writers_and_critics']
172,Aleksandr_Vasilevsky,['subject.People.Military_People']
173,Aleksey_Arakcheyev,['subject.People.Historical_figures']
174,Alexander_Graham_Bell,['subject.People.Engineers_and_inventors']
175,Alexander_Hamilton,['subject.People.Historical_figures']
176,Alexander_the_Great,['subject.People.Military_People']
177,Alfred_Hitchcock,['subject.People.Producers_directors_and_media_figures']
178,Alfred_Nobel,['subject.People.Chemists']
179,Alfred_the_Great,"['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain', 'subject.People.Military_People', 'subject.People.Monarchs_of_Great_Britain']"
180,Algebra,['subject.Mathematics']
181,Algeria,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
182,Algerian_Civil_War,['subject.History.Military_History_and_War']
183,Algiers,['subject.Geography.African_Geography']
184,Algol,['subject.Science.Physics.Space_Astronomy']
185,Algoma_Central_Railway,['subject.Design_and_Technology.Railway_transport']
186,Algorithm,['subject.Mathematics']
187,Alice's_Adventures_in_Wonderland,['subject.Language_and_literature.Novels']
188,All_Blacks,['subject.Everyday_life.Sports_teams']
189,All_You_Need_Is_Love_(The_JAMs_song),['subject.Music.Musical_Recordings_and_compositions']
190,All_your_base_are_belong_to_us,['subject.IT.Websites_and_the_Internet']
191,Allah,['subject.Religion.Divinities']
192,Allegory_in_the_Middle_Ages,['subject.Religion.Religious_texts']
193,Alligator,['subject.Science.Biology.Insects_Reptiles_and_Fish']
194,Alliterative_verse,['subject.Language_and_literature.Poetry_and_Opera']
195,Allosaurus,['subject.Science.Biology.Dinosaurs']
196,Almaty,['subject.Geography.Geography_of_Asia']
197,Almond,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
198,Alpaca,['subject.Science.Biology.Mammals']
199,Alphabet,['subject.Language_and_literature.Linguistics']
200,Alternating_current,['subject.Design_and_Technology.Engineering']
201,Alternation_of_generations,['subject.Science.Biology.General_Biology']
202,Alternative_rock,['subject.Music.Musical_genres_styles_eras_and_events']
203,Aluminium,['subject.Science.Chemistry.Chemical_elements']
204,Aluminium_chloride,['subject.Science.Chemistry.Chemical_compounds']
205,Alzheimer's_disease,['subject.Science.Biology.Health_and_medicine']
206,Amaranth_oil,['subject.Science.Biology.Plants']
207,"Amarillo,_Texas",['subject.Geography.North_American_Geography']
208,Amazon_Basin,['subject.Geography.Central_and_South_American_Geography']
209,Amazon_Rainforest,['subject.Geography.Central_and_South_American_Geography']
210,Amazon_River,['subject.Geography.Central_and_South_American_Geography']
211,Amazon_parrot,['subject.Science.Biology.Birds']
212,Amber,['subject.Geography.Mineralogy']
213,Amda_Seyon_I,['subject.People.Historical_figures']
214,American_Civil_War,['subject.History.Pre_1900_Military']
215,American_English,['subject.Language_and_literature.Languages']
216,American_Revolutionary_War,['subject.History.Pre_1900_Military']
217,American_Samoa,['subject.Geography.Geography_of_Oceania_Australasia']
218,American_football,['subject.Everyday_life.Sports']
219,American_popular_music,['subject.Music.Musical_genres_styles_eras_and_events']
220,Americium,['subject.Science.Chemistry.Chemical_elements']
221,Amish,['subject.Geography.Peoples']
222,Ammolite,['subject.Geography.Mineralogy']
223,Ammonia,['subject.Science.Chemistry.Chemical_compounds']
224,Ammonite,['subject.Geography.Mineralogy']
225,Ammosaurus,['subject.Science.Biology.Dinosaurs']
226,Amsterdam,['subject.Geography.European_Geography']
227,Amtrak,['subject.Design_and_Technology.Railway_transport']
228,Amur,['subject.Geography.Geography_of_Asia']
229,Anaconda,['subject.Science.Biology.Insects_Reptiles_and_Fish']
230,Analytical_Marxism,['subject.Religion.Philosophy']
231,Anarchism,['subject.Religion.Philosophy']
232,Anarcho-capitalism,['subject.Citizenship.Politics_and_government']
233,Anatomy,['subject.Science.Biology.General_Biology']
234,Ancient_Egypt,['subject.History.Ancient_History_Classical_History_and_Mythology']
235,Ancient_Greece,['subject.History.Ancient_History_Classical_History_and_Mythology']
236,Ancient_Rome,['subject.History.Ancient_History_Classical_History_and_Mythology']
237,Ancient_history,['subject.History.General_history']
238,Andes,['subject.Geography.Central_and_South_American_Geography']
239,Andorra,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
240,Andrew_Carnegie,['subject.People.Engineers_and_inventors']
241,Andrew_Dickson_White,['subject.People.Political_People']
242,Andrew_Gonzalez,['subject.People.Writers_and_critics']
243,Andrew_Jackson,['subject.People.USA_Presidents']
244,Andrew_Johnson,['subject.People.USA_Presidents']
245,Andrew_Robinson,['subject.People.Actors_models_and_celebrities']
246,Andriyivskyy_Descent,['subject.Geography.Geography_of_Asia']
247,Andromeda_Galaxy,['subject.Science.Physics.Space_Astronomy']
248,Andrés_Nocioni,['subject.People.Sports_and_games_people']
249,Andy_Warhol,['subject.People.Artists']
250,Anemia,['subject.Science.Biology.Health_and_medicine']
251,Angel_shark,['subject.Science.Biology.Insects_Reptiles_and_Fish']
252,Angelica,['subject.Science.Biology.Plants']
253,Angkor,['subject.Geography.African_Geography']
254,Angkor_Wat,['subject.Design_and_Technology.Architecture']
255,Anglican_Church_of_Australia,['subject.Religion.Religious_movements_traditions_and_organizations']
256,Anglican_Communion,['subject.Religion.Religious_movements_traditions_and_organizations']
257,Anglicanism,['subject.Religion.Religious_movements_traditions_and_organizations']
258,Anglo-Saxon_literature,"['subject.History.British_History.British_History_1500_and_before_including_Roman_Britain', 'subject.Language_and_literature.Literature_types']"
259,Angola,"['subject.Geography.African_Geography.African_Countries', 'subject.Countries']"
260,Anguilla,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
261,Animal,['subject.Science.Biology.General_Biology']
262,Animal_law,['subject.Citizenship.Animal_and_Human_Rights']
263,Animal_rights,['subject.Citizenship.Animal_and_Human_Rights']
264,Animation,"['subject.Everyday_life.Computer_and_Video_games', 'subject.Everyday_life.Films']"
265,Ankylosaurus,['subject.Science.Biology.Dinosaurs']
266,"Ann_Arbor,_Michigan",['subject.Geography.North_American_Geography']
267,Anna_Karenina,['subject.Language_and_literature.Novels']
268,Anne_Frank,['subject.People.Writers_and_critics']
269,Anne_of_Great_Britain,"['subject.History.British_History.British_History_15001750', 'subject.People.Monarchs_of_Great_Britain']"
270,Annibale_Bugnini,['subject.People.Religious_figures_and_leaders']
271,Anno_Domini,['subject.History.General_history']
272,Anschluss,"['subject.History.Recent_History', 'subject.History.World_War_II']"
273,Ant,['subject.Science.Biology.Insects_Reptiles_and_Fish']
274,Antananarivo,['subject.Geography.African_Geography']
275,Antarctic_Treaty_System,['subject.Geography.Antarctica']
276,Antarctic_krill,['subject.Science.Biology.Insects_Reptiles_and_Fish']
277,Antarctica,['subject.Geography.Antarctica']
278,Antarctosaurus,['subject.Science.Biology.Dinosaurs']
279,Anteater,['subject.Science.Biology.Mammals']
280,Antelope,['subject.Science.Biology.Mammals']
281,Anthony_van_Dyck,['subject.People.Artists']
282,Anthropology,['subject.Geography.Peoples']
283,Antigua_and_Barbuda,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
284,Antimony,['subject.Science.Chemistry.Chemical_elements']
285,Antlion,['subject.Science.Biology.Insects_Reptiles_and_Fish']
286,Antoine_Lavoisier,['subject.People.Chemists']
287,Anton_Alexander_von_Werner,['subject.People.Artists']
288,Antonio_Vivaldi,['subject.People.Performers_and_composers']
289,Antonín_Dvořák,['subject.People.Performers_and_composers']
290,Antwerp,['subject.Geography.European_Geography']
291,Apaochi,['subject.History.Ancient_History_Classical_History_and_Mythology']
292,Apatosaurus,['subject.Science.Biology.Dinosaurs']
293,Ape,['subject.Science.Biology.Mammals']
294,Aphid,['subject.Science.Biology.Insects_Reptiles_and_Fish']
295,Apollo,['subject.Religion.Divinities']
296,Apollo_11,['subject.Science.Physics.Space_transport']
297,Apollo_8,['subject.Science.Physics.Space_transport']
298,Apostolic_Succession,['subject.Religion.Religious_disputes']
299,Apple,['subject.Everyday_life.Food_and_agriculture']
300,Applied_mathematics,['subject.Mathematics']
301,Apricot,['subject.Everyday_life.Food_and_agriculture']
302,Aquarium,"['subject.Everyday_life.Everyday_life', 'subject.Science.Biology.General_Biology']"
303,Arab-Israeli_conflict,['subject.Citizenship.Conflict_and_Peace']
304,Arab_League,['subject.Citizenship.Politics_and_government']
305,Arabic_language,['subject.Language_and_literature.Languages']
306,Arable_land,['subject.Everyday_life.Food_and_agriculture']
307,"Aradia,_or_the_Gospel_of_the_Witches",['subject.Language_and_literature.General_Literature']
308,Aral_Sea,['subject.Geography.General_Geography']
309,Arcadia_(play),['subject.Language_and_literature.Theatre']
310,Archaeoastronomy,['subject.Science.Physics.Space_Astronomy']
311,Archaeology,['subject.History.Archaeology']
312,Archaeopteryx,['subject.Science.Biology.Birds']
313,Archbishop_of_Canterbury,['subject.People.Religious_figures_and_leaders']
314,Archimedes,['subject.People.Mathematicians']
315,Architecture,['subject.Design_and_Technology.Architecture']
316,Architecture_of_Windows_NT,['subject.IT.Software']
317,Architecture_of_the_California_missions,['subject.Design_and_Technology.Architecture']
318,Arctic,['subject.Geography.General_Geography']
319,Arctic_Circle,['subject.Geography.General_Geography']
320,Arctic_Monkeys,['subject.Music.Performers_and_composers']
321,Arctic_Ocean,['subject.Geography.General_Geography']
322,Arctic_Tern,['subject.Science.Biology.Birds']
323,Arecaceae,['subject.Science.Biology.Plants']
324,Argan,['subject.Science.Biology.Plants']
325,Argentina,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
326,Argon,['subject.Science.Chemistry.Chemical_elements']
327,Argyle_diamond_mine,['subject.Geography.Geography_of_Oceania_Australasia']
328,Ariel_Sharon,['subject.People.Political_People']
329,Aristarchus_(crater),['subject.Science.Physics.Space_Astronomy']
330,Aristotle,['subject.People.Philosophers']
331,Arithmetic,['subject.Mathematics']
332,Armadillo,['subject.Science.Biology.Mammals']
333,"Armand_Jean_du_Plessis,_Cardinal_Richelieu",['subject.People.Historical_figures']
334,Armenia,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
335,Armia_Krajowa,['subject.People.Political_People']
336,Arnold_Schwarzenegger,['subject.People.Producers_directors_and_media_figures']
337,Arp2_3_complex,['subject.Science.Biology.General_Biology']
338,Ars_moriendi,['subject.History.General_history']
339,Arsenal_F.C.,['subject.Everyday_life.Sports_teams']
340,Arsenic,['subject.Science.Chemistry.Chemical_elements']
341,Art,['subject.Art.Art']
342,Arthropod,['subject.Science.Biology.General_Biology']
343,Arthur_Ernest_Percival,['subject.People.Military_People']
344,Arthur_Sullivan,"['subject.History.British_History.British_History_17501900', 'subject.People.Writers_and_critics']"
345,Arthur_Upfield,['subject.People.Writers_and_critics']
346,"Arthur_Wellesley,_1st_Duke_of_Wellington","['subject.History.British_History.British_History_17501900', 'subject.People.Military_People']"
347,Arts_and_crafts,['subject.Art.Art']
348,Aruba,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
349,Arugula,['subject.Everyday_life.Food_and_agriculture']
350,Ascariasis,['subject.Science.Biology.Health_and_medicine']
351,Asia,['subject.Geography.Geography_of_Asia']
352,Asp_(reptile),['subject.Science.Biology.Insects_Reptiles_and_Fish']
353,Asparagus,['subject.Everyday_life.Food_and_agriculture']
354,Asperger_syndrome,['subject.Science.Biology.Health_and_medicine']
355,Assyria,['subject.History.Ancient_History_Classical_History_and_Mythology']
356,Astatine,['subject.Science.Chemistry.Chemical_elements']
357,Asteroid,['subject.Science.Physics.Space_Astronomy']
358,Asthma,['subject.Science.Biology.Health_and_medicine']
359,Astrology,['subject.Everyday_life.Recreation']
360,Astronomy,['subject.Science.Physics.Space_Astronomy']
361,Astrophysics_Data_System,['subject.Science.Physics.Space_Astronomy']
362,Asunción,['subject.Geography.Central_and_South_American_Geography']
363,Ateneo_de_Manila_University,['subject.Geography.Central_and_South_American_Geography']
364,Athanasius_Kircher,"['subject.History.Historians_chroniclers_and_history_books', 'subject.People.Human_Scientists']"
365,Atheism,['subject.Religion.Philosophy']
366,Athena,['subject.Religion.Divinities']
367,Athens,['subject.Geography.European_Geography']
368,Athletics_(track_and_field),['subject.Everyday_life.Sports']
369,"Atlanta,_Georgia",['subject.Geography.North_American_Geography']
370,Atlantic_Coast_Line_Railroad,['subject.Design_and_Technology.Railway_transport']
371,Atlantic_Ocean,['subject.Geography.General_Geography']
372,Atlantic_herring,['subject.Science.Biology.Insects_Reptiles_and_Fish']
373,Atlantic_slave_trade,['subject.History.British_History.British_History_17501900']
374,Atlantis,['subject.Religion.Myths']
375,Atom,['subject.Science.Chemistry.General_Chemistry']
376,Atonality,['subject.Music.Musical_genres_styles_eras_and_events']
377,Attack_on_Pearl_Harbor,['subject.History.World_War_II']
378,Attalus_I,['subject.People.Historical_figures']
379,Attention-deficit_hyperactivity_disorder,['subject.Science.Biology.Health_and_medicine']
380,Attila_the_Hun,"['subject.People.Historical_figures', 'subject.People.Military_People']"
381,Auckland,['subject.Geography.Geography_of_Oceania_Australasia']
382,"Augusta,_Lady_Gregory","['subject.Language_and_literature.Theatre', 'subject.People.Writers_and_critics']"
383,Augustan_literature,['subject.Language_and_literature.Literature_types']
384,Auguste_Rodin,['subject.People.Artists']
385,Augustine_of_Hippo,['subject.People.Religious_figures_and_leaders']
386,Augustus,['subject.People.Historical_figures']
387,Australia,"['subject.Countries', 'subject.Geography.Geography_of_Oceania_Australasia']"
388,Australian_English,['subject.Language_and_literature.Languages']
389,Australian_Green_Tree_Frog,['subject.Science.Biology.Insects_Reptiles_and_Fish']
390,Australian_Open,['subject.Everyday_life.Sports_events']
391,Australian_Ringneck,['subject.Science.Biology.Birds']
392,Australian_constitutional_law,['subject.Geography.Geography_of_Oceania_Australasia']
393,Australian_rules_football,['subject.Everyday_life.Sports']
394,Austria,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
395,Autism,['subject.Science.Biology.Health_and_medicine']
396,Auto_racing,['subject.Everyday_life.Sports']
397,Autobianchi_Primula,['subject.Science.Biology.Plants']
398,Autocracy,['subject.Citizenship.Politics_and_government']
399,Automated_teller_machine,['subject.Design_and_Technology.Engineering']
400,Automatic_number_plate_recognition,['subject.Design_and_Technology.Road_transport']
401,Automobile,['subject.Design_and_Technology.Road_transport']
402,Autorack,['subject.Design_and_Technology.Railway_transport']
403,Autostereogram,['subject.Science.Biology.Health_and_medicine']
404,Autumn,['subject.Geography.Climate_and_the_Weather']
405,Avacha_Volcano,['subject.Geography.Geography_of_Asia']
406,Avalanche,['subject.Geography.Natural_Disasters']
407,Avatar__The_Last_Airbender,['subject.Everyday_life.Television']
408,Avocado,"['subject.Everyday_life.Food_and_agriculture', 'subject.Science.Biology.Plants']"
409,Avon_Gorge,['subject.Geography.Geography_of_Great_Britain']
410,Avro_Lancaster,"['subject.Design_and_Technology.Air_and_Sea_transport', 'subject.History.World_War_II']"
411,Axe,['subject.Design_and_Technology.Engineering']
412,Ayaan_Hirsi_Ali,['subject.People.Political_People']
413,Aye-aye,['subject.Science.Biology.Mammals']
414,"Aymer_de_Valence,_2nd_Earl_of_Pembroke",['subject.People.Historical_figures']
415,Azerbaijan,"['subject.Countries', 'subject.Geography.European_Geography.European_Countries']"
416,Azerbaijani_people,['subject.Geography.Peoples']
417,Aztec,['subject.History.Ancient_History_Classical_History_and_Mythology']
418,BAE_Systems,['subject.Business_Studies.Companies']
419,BASIC,['subject.IT.Computer_Programming']
420,BBC,"['subject.Citizenship.Media', 'subject.Everyday_life.Television']"
421,BBC_television_drama,['subject.Everyday_life.Television']
422,BP,['subject.Business_Studies.Companies']
423,BT_Tower,['subject.Design_and_Technology.Architecture']
424,B_vitamins,['subject.Science.Biology.Health_and_medicine']
425,Babe_Ruth,['subject.People.Sports_and_games_people']
426,Baboon,['subject.Science.Biology.Mammals']
427,Babur,"['subject.History.Ancient_History_Classical_History_and_Mythology', 'subject.People.Historical_figures']"
428,Baby_Gender_Mentor,['subject.Science.Biology.Health_and_medicine']
429,Babylonia,['subject.History.Ancient_History_Classical_History_and_Mythology']
430,Backgammon,['subject.Everyday_life.Games']
431,Bacteria,['subject.Science.Biology.Organisms']
432,Baden-Powell_House,['subject.Citizenship.Community_organisations']
433,Badger,['subject.Science.Biology.Mammals']
434,Badminton,['subject.Everyday_life.Sports']
435,Badugi,['subject.Everyday_life.Games']
436,Baghdad,['subject.Geography.Geography_of_the_Middle_East']
437,Bahamas,"['subject.Geography.Central_and_South_American_Geography.Central_and_South_American_Countries', 'subject.Countries']"
438,Bahrain,"['subject.Countries', 'subject.Geography.Geography_of_the_Middle_East.Middle_Eastern_Countries']"
439,Bahá'í_Faith,['subject.Religion.Religious_movements_traditions_and_organizations']
440,Baker_Island,['subject.Geography.Geography_of_Oceania_Australasia']
441,Bald_Eagle,['subject.Science.Biology.Birds']
442,Baltic_Sea,['subject.Geography.General_Geography']
443,"Baltimore,_Maryland",['subject.Geography.North_American_Geography']
444,Bamako,['subject.Geography.African_Geography']
445,Banana,['subject.Everyday_life.Food_and_agriculture']
446,Bandicoot,['subject.Science.Biology.Mammals']
447,Bangalore,['subject.Geography.Geography_of_Asia']
448,Bangkok,['subject.Geography.Geography_of_Asia']
449,Bangladesh,"['subject.Geography.Geography_of_Asia.Asian_Countries', 'subject.Countries']"
450,Banjul,['subject.Geography.African_Geography']
451,Bank_of_China_(Hong_Kong),['subject.Business_Studies.Companies']
452,Banknote,['subject.Business_Studies.Currency']
453,Banksy,['subject.People.Artists']
454,Bantu,['subject.Geography.African_Geography']
455,Barack_Obama,['subject.People.Political_People']
